"carat","cut","color","clarity","depth","table","price","x","y","z"
0.7,"Very Good","G","VS1",63,60,2812,5.57,5.64,3.53
0.7,"Very Good","F","VS2",59.5,58,2812,5.75,5.85,3.45
0.7,"Good","E","SI1",63.5,59,2812,5.49,5.53,3.5
0.7,"Very Good","F","VS2",61.7,58,2812,5.63,5.69,3.49
0.32,"Premium","I","SI1",62.7,58,554,4.37,4.34,2.73
0.32,"Premium","I","SI1",62.8,58,554,4.39,4.34,2.74
0.32,"Ideal","I","SI1",62.4,57,554,4.37,4.35,2.72
0.32,"Premium","I","SI1",61,59,554,4.39,4.36,2.67
0.32,"Very Good","I","SI1",63.1,56,554,4.39,4.36,2.76
0.32,"Ideal","I","SI1",60.7,57,554,4.47,4.42,2.7
0.3,"Premium","H","SI1",60.9,59,554,4.31,4.29,2.62
0.3,"Premium","H","SI1",60.1,55,554,4.41,4.38,2.64
0.3,"Premium","H","SI1",62.9,58,554,4.28,4.24,2.68
0.3,"Very Good","H","SI1",63.3,56,554,4.29,4.27,2.71
0.3,"Good","H","SI1",63.8,55,554,4.26,4.2,2.7
0.3,"Ideal","H","SI1",62.9,57,554,4.27,4.22,2.67
0.3,"Very Good","H","SI1",63.4,60,554,4.25,4.23,2.69
0.32,"Good","I","SI1",63.9,55,554,4.36,4.34,2.78
0.33,"Ideal","H","SI2",61.4,56,554,4.85,4.79,2.95
0.29,"Very Good","E","VS1",61.9,55,555,4.28,4.33,2.66
0.29,"Very Good","E","VS1",62.4,55,555,4.2,4.25,2.63
0.31,"Very Good","F","SI1",61.8,58,555,4.32,4.35,2.68
0.34,"Ideal","H","VS2",61.5,56,555,4.47,4.5,2.76
0.34,"Ideal","H","VS2",60.4,57,555,4.54,4.57,2.75
0.34,"Ideal","I","VS1",61.8,55,555,4.48,4.52,2.78
0.34,"Ideal","I","VS1",62,56,555,4.5,4.53,2.8
0.3,"Ideal","G","VS1",62.3,56,555,4.29,4.31,2.68
0.29,"Ideal","F","VS1",61.6,56,555,4.26,4.31,2.64
0.35,"Ideal","G","SI1",60.6,56,555,4.56,4.58,2.77
0.43,"Very Good","E","I1",58.4,62,555,4.94,5,2.9
0.32,"Very Good","F","VS2",61.4,58,556,4.37,4.42,2.7
0.36,"Ideal","I","VS2",61.9,56,556,4.54,4.57,2.82
0.3,"Ideal","G","VS2",62,56,556,4.28,4.3,2.66
0.26,"Ideal","E","VS1",61.5,57,556,4.09,4.12,2.52
0.7,"Very Good","F","VS2",62.3,58,2812,5.64,5.72,3.54
0.7,"Very Good","F","VS2",60.9,61,2812,5.66,5.71,3.46
0.71,"Ideal","D","SI1",62.4,57,2812,5.69,5.72,3.56
0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68
0.73,"Premium","E","VS2",58.6,60,2812,5.92,5.89,3.46
0.51,"Ideal","F","VVS1",62,57,2812,5.15,5.11,3.18
0.91,"Premium","G","SI2",59.8,58,2813,6.3,6.29,3.77
0.84,"Very Good","E","SI1",63.4,55,2813,6,5.95,3.79
0.91,"Good","I","VS2",64.3,58,2813,6.09,6.05,3.9
0.76,"Premium","E","SI1",62.2,59,2814,5.86,5.81,3.63
0.76,"Ideal","E","SI1",61.7,57,2814,5.88,5.85,3.62
0.75,"Premium","E","SI1",61.1,59,2814,5.86,5.83,3.57
0.55,"Very Good","D","VVS1",61.5,56,2815,5.23,5.27,3.23
0.76,"Very Good","F","SI2",58.5,62,2815,5.93,6.01,3.49
0.74,"Premium","G","VS1",61.7,58,2815,5.79,5.81,3.58
0.7,"Ideal","H","SI1",60.4,56,2815,5.75,5.81,3.49
0.7,"Ideal","H","SI1",61.4,56,2815,5.7,5.76,3.52
0.7,"Ideal","H","SI1",61.5,55,2815,5.73,5.79,3.54
0.7,"Ideal","H","SI1",61.4,56,2815,5.72,5.77,3.53
0.9,"Fair","J","VS2",65,56,2815,6.08,6.04,3.94
0.95,"Fair","F","SI2",56,60,2815,6.62,6.53,3.68
0.89,"Premium","H","SI2",60.2,59,2815,6.26,6.23,3.76
0.72,"Premium","E","VS2",58.3,58,2815,5.99,5.92,3.47
0.96,"Fair","E","SI2",53.1,63,2815,6.73,6.65,3.55
1.02,"Premium","G","I1",60.3,58,2815,6.55,6.5,3.94
0.78,"Very Good","I","VVS2",61.4,56,2816,5.91,5.95,3.64
0.61,"Ideal","G","VVS2",60.1,57,2816,5.52,5.54,3.32
0.71,"Good","D","VS1",63.4,55,2816,5.61,5.69,3.58
0.78,"Premium","F","SI1",61.5,59,2816,5.96,5.88,3.64
0.87,"Ideal","H","SI2",62.7,56,2816,6.16,6.13,3.85
0.83,"Ideal","H","SI1",62.5,55,2816,6.04,6,3.76
0.71,"Premium","E","SI1",61.3,56,2817,5.78,5.73,3.53
0.71,"Ideal","I","VVS2",60.2,56,2817,5.84,5.89,3.53
0.71,"Ideal","E","VS2",62.7,57,2817,5.66,5.64,3.54
0.71,"Premium","E","VS2",62.3,58,2817,5.69,5.65,3.53
0.63,"Ideal","F","VVS2",61.5,56,2817,5.48,5.52,3.38
0.71,"Premium","E","SI1",59.2,59,2817,5.86,5.83,3.46
0.71,"Premium","E","SI1",61.8,59,2817,5.75,5.7,3.54
0.71,"Ideal","E","SI1",61.3,55,2817,5.77,5.72,3.52
0.71,"Premium","E","SI1",61.4,58,2817,5.77,5.73,3.53
0.9,"Ideal","J","VS2",62.8,55,2817,6.2,6.16,3.88
0.71,"Good","E","SI1",62.8,64,2817,5.6,5.54,3.5
0.7,"Premium","E","VS2",62.4,61,2818,5.66,5.63,3.52
0.7,"Premium","E","VS2",59.3,60,2818,5.78,5.73,3.41
0.7,"Premium","E","VS2",63,60,2818,5.64,5.6,3.54
1,"Premium","H","I1",61.3,60,2818,6.43,6.39,3.93
0.86,"Premium","F","SI2",59.3,62,2818,6.36,6.22,3.73
0.8,"Ideal","H","SI1",61,57,2818,6.07,6,3.68
0.7,"Ideal","E","VS1",62.9,57,2818,5.66,5.61,3.54
0.7,"Premium","E","VS1",59.6,57,2818,5.91,5.83,3.5
0.7,"Premium","F","VS2",61.8,60,2818,5.69,5.64,3.5
0.7,"Premium","E","VS1",62.7,57,2818,5.68,5.64,3.55
1,"Fair","H","SI2",65.3,62,2818,6.34,6.12,4.08
0.72,"Very Good","G","VS1",63.8,58,2819,5.64,5.68,3.61
0.72,"Ideal","H","VS1",62.3,56,2819,5.73,5.77,3.58
0.7,"Good","F","VS1",59.7,63,2819,5.76,5.79,3.45
0.86,"Good","F","SI2",64.3,60,2819,5.97,5.95,3.83
0.71,"Ideal","G","VS1",62.9,58,2820,5.66,5.69,3.57
0.75,"Ideal","E","SI1",62,57,2821,5.8,5.78,3.59
0.73,"Premium","E","VS2",61.6,59,2821,5.77,5.73,3.54
0.53,"Ideal","E","VVS1",61.9,55,2821,5.2,5.21,3.22
0.73,"Premium","E","SI1",61.3,58,2821,5.83,5.76,3.55
0.73,"Good","E","SI1",63.6,57,2821,5.72,5.7,3.63
0.73,"Premium","E","SI1",59.6,61,2821,5.92,5.85,3.51
0.73,"Premium","E","SI1",62.2,59,2821,5.77,5.68,3.56
0.73,"Premium","D","SI1",61.7,55,2821,5.84,5.82,3.6
0.73,"Very Good","E","SI1",63.2,58,2821,5.76,5.7,3.62
0.7,"Premium","E","VS1",60.8,60,2822,5.74,5.71,3.48
0.72,"Premium","E","VS2",60.3,59,2822,5.84,5.8,3.51
0.72,"Premium","E","VS2",60.9,60,2822,5.8,5.76,3.52
0.72,"Premium","E","VS2",62.4,59,2822,5.77,5.7,3.58
0.7,"Premium","E","VS2",60.2,60,2822,5.73,5.7,3.44
0.6,"Ideal","F","VVS2",62,55,2822,5.37,5.4,3.34
0.74,"Ideal","I","VVS1",60.8,57,2822,5.85,5.89,3.57
0.73,"Ideal","F","SI1",62.1,55,2822,5.75,5.78,3.58
0.71,"Premium","D","SI1",62.7,60,2822,5.71,5.67,3.57
0.71,"Premium","D","SI1",61.3,58,2822,5.75,5.73,3.52
0.7,"Premium","D","SI1",60.2,60,2822,5.82,5.75,3.48
0.7,"Ideal","D","SI1",60.7,56,2822,5.75,5.72,3.48
0.9,"Good","J","VS2",64,61,2822,6.04,6.03,3.86
0.71,"Ideal","D","SI1",60.2,56,2822,5.86,5.83,3.52
0.7,"Premium","E","VS2",61.5,59,2822,5.73,5.68,3.51
0.7,"Premium","E","VS2",62.6,56,2822,5.71,5.66,3.56
0.7,"Ideal","D","SI1",59.7,58,2822,5.82,5.77,3.46
0.7,"Good","E","SI1",61.4,64,2822,5.71,5.66,3.49
0.7,"Ideal","D","SI1",62.5,57,2822,5.62,5.59,3.51
0.7,"Ideal","D","SI1",61.8,56,2822,5.73,5.63,3.51
0.7,"Premium","E","VS2",60.7,62,2822,5.72,5.68,3.46
